linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
ja-ja-di-k	jajadik	jor	-14.7108	jor (-14.71); rum (-14.71); mol (-14.71)	7
ja-ja-di-ki	jajadiki	jor	-18.2144	jor (-18.21); mol (-18.21); rum (-18.21)	8
ja-ja-di-ki-t	jajadikit	mol	-21.718	mol (-21.72); jor (-21.72); rum (-21.72)	9
ja-ja-di-ki-tu	jajadikitu	numa	-21.7139	numa (-21.71); mol (-25.22); rum (-25.22)	10
ja-ja-i	jajai	nu	-10.5162	nu (-10.52); rum (-13.52); jor (-13.52)	5
ja-ja-i-n	jajain	nu	-14.0234	nu (-14.02); jor (-16.54); rum (-16.54)	6
ja-ja-i-n-w	jajainw	nu	-17.5306	nu (-17.53); rum (-19.73); jor (-19.73)	7
ja-ja-i-nwa	jajainwa	nu	-21.0378	nu (-21.04); rum (-22.99); jor (-22.99)	8
ja-ja-i-nwa-z	jajainwaz	nu	-24.545	nu (-24.55); mol (-26.30); rum (-26.30)	9
ja-ja-i-nwa-za	jajainwaza	nu	-28.0522	nu (-28.05); numa (-29.65); lumb (-29.65)	10
ja-ja-j	jajaj	lam	-13.2236	lam (-13.22); men (-13.22); jor (-13.22)	5
ja-ja-ja	jajaja	mam	-16.7094	mam (-16.71); lam (-16.71); nen (-16.71)	6
ja-ja-ja-w	jajajaw	mam	-20.1951	mam (-20.20); jor (-20.20); rum (-20.20)	7
ja-ja-ja-wa	jajajawa	mol	-23.6807	mol (-23.68); rum (-23.68); lam (-23.68)	8
ja-ja-s	jajas	nen	-14.443	nen (-14.44); men (-14.44); mam (-14.44)	5
ja-ja-sa	jajasa	jor	-17.9	jor (-17.90); men (-17.90); nen (-17.90)	6
ja-ja-sa-s	jajasas	men	-21.3581	men (-21.36); nen (-21.36); rum (-21.36)	7
ja-ja-sa-sa	jajasasa	nen	-24.8174	nen (-24.82); rum (-24.82); mam (-24.82)	8
ja-ja-sa-sa-r	jajasasar	lʿdze	-26.1274	lʿdze (-26.13); nad (-26.70); lad (-26.70)	9
ja-ja-sa-sa-ra	jajasasara	lʿdze	-28.9451	lʿdze (-28.95); mad (-30.20); lad (-30.20)	10
ja-ja-w	jajaw	lam	-14.443	lam (-14.44); rum (-14.44); men (-14.44)	5
ja-ja-wa	jajawa	jor	-17.9	jor (-17.90); mol (-17.90); men (-17.90)	6
ja-re-d	jared	lʿdze	-11.0422	lʿdze (-11.04); dzɡib (-11.16); rɡ (-11.20)	5
ja-re-di	jaredi	zu	-14.0238	zu (-14.02); lʿdze (-14.15); dzɡib (-14.25)	6
ja-re-di-j	jaredij	dzum	-12.5751	dzum (-12.58); dzor (-12.58); zom (-14.71)	7
ja-re-di-ja	jaredija	dzum	-16.0813	dzum (-16.08); dzor (-16.08); dum (-18.22)	8
ja-re-t	jaret	lʿdze	-11.0422	lʿdze (-11.04); rdʒw (-11.13); brdz (-12.46)	5
ja-re-ta	jareta	rdʒw	-13.9676	rdʒw (-13.97); lʿdze (-14.15); brdz (-15.97)	6
ja-sa-sa-r	jasasar	lʿdze	-20.009	lʿdze (-20.01); lad (-20.51); nad (-20.51)	7
ja-sa-sa-ra	jasasara	lʿdze	-22.8217	lʿdze (-22.82); nad (-24.00); lad (-24.00)	8
ja-sa-sa-ra-m	jasasaram	nadzw	-24.6452	nadzw (-24.65); nezw (-24.69); maqʼw (-25.10)	9
ja-sa-sa-ra-ma	jasasarama	nadzw	-28.1497	nadzw (-28.15); nezw (-28.20); maqʼw (-28.61)	10
ja-sa-sa-ra-me	jasasarame	lʿdze	-27.5491	lʿdze (-27.55); nadzw (-28.12); nezw (-28.19)	10
ja-sa-u	jasau	ni	-11.2039	ni (-11.20); ma (-11.20); lʿdze (-12.20)	5
ja-sa-u-n	jasaun	ma	-14.711	ma (-14.71); ni (-14.71); lʿdze (-15.71)	6
ja-sa-u-na	jasauna	ni	-18.2182	ni (-18.22); ma (-18.22); lʿdze (-19.21)	7
ja-sa-u-na-k	jasaunak	lam	-18.9037	lam (-18.90); mam (-18.90); men (-18.90)	8
ja-sa-u-na-ka	jasaunaka	mam	-22.4099	mam (-22.41); nen (-22.41); lam (-22.41)	9
ja-sa-u-na-ka-n	jasaunakan	men	-25.9162	men (-25.92); lam (-25.92); mam (-25.92)	10
ja-se-k	jasek	matʼl	-11.8214	matʼl (-11.82); zr (-11.90); dn (-11.90)	5
ja-se-ka	jaseka	matʼl	-15.3273	matʼl (-15.33); dn (-15.40); zm (-15.40)	6
ja-se-ka-n	jasekan	matʼl	-18.833	matʼl (-18.83); zm (-18.91); zr (-18.91)	7
ja-se-ka-na	jasekana	matʼl	-22.3386	matʼl (-22.34); zm (-22.41); dn (-22.41)	8
ja-se-ka-na-s	jasekanas	matʼl	-25.844	matʼl (-25.84); zm (-25.92); zr (-25.92)	9
ja-se-ka-na-si	jasekanasi	nu	-28.0487	nu (-28.05); zu (-28.73); matʼl (-29.35)	10
ja-ta-i	jatai	nu	-11.2039	nu (-11.20); pʼu (-13.90); lokʼ (-14.15)	5
ja-ta-i-*301	jataiΘ	nu	-14.711	nu (-14.71); lokʼ (-17.19); pʼu (-17.41)	6
ja-ta-i-*301-u	jataiΘu	numa	-17.3931	numa (-17.39); ni (-18.21); ma (-18.21)	7
ja-ta-i-*301-u-j	jataiΘuj	mol	-18.9037	mol (-18.90); jor (-18.90); rum (-18.90)	8
ja-ta-i-*301-u-ja	jataiΘuja	mol	-22.4099	mol (-22.41); rum (-22.41); jor (-22.41)	9
ja-tu-r	jatur	mad	-8.3877	mad (-8.39); nad (-8.39); lad (-8.39)	5
ja-tu-ru	jaturu	mze	-11.8846	mze (-11.88); lad (-11.89); mad (-11.89)	6
ja-tu-ru-s	jaturus	mtʃʼedel	-15.0104	mtʃʼedel (-15.01); mze (-15.39); lad (-15.40)	7
ja-tu-ru-sa	jaturusa	mtʃʼedel	-18.1174	mtʃʼedel (-18.12); mze (-18.90); nad (-18.90)	8
ja-tu-ru-sa-i	jaturusai	mtʃʼedel	-21.3397	mtʃʼedel (-21.34); lad (-22.41); mad (-22.41)	9
ja-tu-ru-sa-i-d	jaturusaid	meɡ	-24.5382	meɡ (-24.54); neb (-24.54); laɡ (-24.54)	10
ja-wa-*56	jawaΦ	max	-13.3588	max (-13.36); ratx (-13.38); mxul (-14.78)	5
ka-na-si	kanasi	nu	-14.7093	nu (-14.71); rum (-18.04); jor (-18.04)	6
ka-na-si-s	kanasis	nu	-18.2164	nu (-18.22); jor (-20.93); rum (-20.93)	7
ka-na-si-si	kanasisi	nu	-21.0325	nu (-21.03); otxo (-23.77); lokʼ (-23.78)	8
ka-na-si-si-r	kanasisir	nu	-24.5401	nu (-24.54); lokʼ (-24.76); lutsʼ (-24.87)	9
ke-ta-n	ketan	rdʒw	-10.7622	rdʒw (-10.76); mze (-13.95); ɡrdʒɣa (-14.19)	5
ke-ta-na	ketana	rdʒw	-13.9847	rdʒw (-13.98); mze (-17.24); ɡrdʒɣa (-17.39)	6
ke-ta-na-i	ketanai	rdʒw	-17.2707	rdʒw (-17.27); nu (-18.21); zu (-18.22)	7
ke-ta-na-i-*301	ketanaiΘ	rdʒw	-20.597	rdʒw (-20.60); nu (-21.72); zu (-21.72)	8
ke-ta-na-i-*301-t	ketanaiΘt	rdʒw	-23.821	rdʒw (-23.82); nu (-25.23); zu (-25.23)	9
ke-ta-na-i-*301-ti	ketanaiΘti	rdʒw	-27.1081	rdʒw (-27.11); kʼutʼu (-27.60); nu (-28.05)	10
ki-te-s	kites	lokʼ	-11.0462	lokʼ (-11.05); lutsʼ (-11.15); nu (-11.21)	5
ki-te-si	kitesi	nu	-14.0225	nu (-14.02); lokʼ (-14.50); lutsʼ (-14.65)	6
ki-te-si-r	kitesir	dud	-15.394	dud (-15.39); lokʼ (-17.01); lutsʼ (-17.05)	7
ki-te-si-ra	kitesira	dud	-18.9002	dud (-18.90); lokʼ (-20.50); lutsʼ (-20.55)	8
ki-te-t	kitet	lokʼ	-10.4139	lokʼ (-10.41); lutsʼ (-10.46); nu (-11.21)	5
ki-te-te	kitete	lokʼ	-13.4277	lokʼ (-13.43); lutsʼ (-13.45); lʿdze (-14.48)	6
ki-te-te-r	kiteter	lʿdze	-16.5348	lʿdze (-16.53); lutsʼ (-16.54); lokʼ (-16.54)	7
ki-te-te-re	kitetere	lʿdze	-19.0266	lʿdze (-19.03); lutsʼ (-19.70); lokʼ (-19.72)	8
ki-te-te-re-p	kiteterep	lʿdze	-22.0406	lʿdze (-22.04); lutsʼ (-23.21); lokʼ (-23.22)	9
ki-tu-j	kituj	jor	-8.3877	jor (-8.39); lam (-8.39); men (-8.39)	5
ki-tu-ja	kituja	men	-11.8939	men (-11.89); mam (-11.89); nen (-11.89)	6
ki-tu-ja-s	kitujas	men	-15.4001	men (-15.40); nen (-15.40); mam (-15.40)	7
ma-i-na	maina	opl	-16.3735	opl (-16.37); ode (-16.37); usx (-16.37)	5
ma-i-na-j	mainaj	opl	-17.0015	opl (-17.00); oqar (-17.05); jor (-17.06)	6
ma-i-na-ja	mainaja	asulʿ	-20.2745	asulʿ (-20.27); tsolʿ (-20.27); opl (-20.49)	7
ma-i-na-ja-r	mainajar	wltʼ	-22.5042	wltʼ (-22.50); asulʿ (-23.10); tsolʿ (-23.10)	8
ma-i-na-ja-re	mainajare	brdz	-24.7504	brdz (-24.75); ɡrdz (-24.75); bandz (-24.87)	9
ma-i-na-ja-re-t	mainajaret	wltʼ	-28.1276	wltʼ (-28.13); brdz (-28.25); ɡrdz (-28.25)	10
ma-na-d	manad	brɡ	-15.8337	brɡ (-15.83); ɡob (-15.83); ɡab (-15.83)	5
ma-na-da	manada	brɡ	-19.164	brɡ (-19.16); ɡab (-19.16); ɡob (-19.16)	6
ma-na-da-w	manadaw	ɡab	-22.5171	ɡab (-22.52); brɡ (-22.52); ɡob (-22.52)	7
ma-na-da-wa	manadawa	ɡab	-25.8874	ɡab (-25.89); ɡob (-25.89); brɡ (-25.89)	8
ma-na-da-wa-i	manadawai	bzu	-26.573	bzu (-26.57); ɡob (-27.80); ɡor (-27.90)	9
ma-na-da-wa-i-j	manadawaij	ɡor	-25.2333	ɡor (-25.23); bur (-25.23); ɡul (-25.23)	10
ma-si-r	masir	dud	-13.2952	dud (-13.30); kʼud (-13.52); kʼod (-13.52)	5
ma-si-ru	masiru	ode	-11.2072	ode (-11.21); bude (-13.30); di (-14.71)	6
ma-si-ru-t	masirut	ode	-14.7144	ode (-14.71); bude (-16.81); za (-18.22)	7
ma-si-ru-te	masirute	ode	-18.2207	ode (-18.22); ded (-18.91); bude (-20.31)	8
me-i-ja	meija	dum	-8.3896	dum (-8.39); zom (-8.39); dzum (-10.74)	5
me-i-ja-s	meijas	zom	-11.8959	zom (-11.90); dum (-11.90); zura (-14.23)	6
me-i-ja-sa	meijasa	zom	-15.4022	zom (-15.40); dum (-15.40); zura (-17.45)	7
me-i-ja-sa-s	meijasas	dum	-18.9085	dum (-18.91); zom (-18.91); zura (-20.74)	8
me-i-ja-sa-sa	meijasasa	dum	-22.4148	dum (-22.41); zom (-22.41); zura (-24.07)	9
me-i-ja-sa-u	meijasau	zura	-15.3974	zura (-15.40); zom (-18.91); dum (-18.91)	8
me-i-ja-sa-u-n	meijasaun	zura	-18.9046	zura (-18.90); zom (-22.41); dum (-22.41)	9
me-i-ja-sa-u-na	meijasauna	zura	-22.4118	zura (-22.41); zom (-25.92); dum (-25.92)	10
me-i-ti	meiti	zu	-10.5153	zu (-10.52); kʼutʼu (-11.70); pʼu (-12.98)	5
me-u-na	meuna	ze	-11.2083	ze (-11.21); za (-11.21); da (-11.21)	5
me-u-na-k	meunak	wal	-11.8931	wal (-11.89); dar (-11.89); zar (-11.89)	6
me-u-na-ka	meunaka	wal	-15.3994	wal (-15.40); dar (-15.40); zar (-15.40)	7
me-u-na-ka-n	meunakan	wal	-18.9057	wal (-18.91); dar (-18.91); zar (-18.91)	8
me-u-na-ka-na	meunakana	wal	-22.4119	wal (-22.41); zar (-22.41); dar (-22.41)	9
me-u-na-ka-na-s	meunakanas	wal	-25.9182	wal (-25.92); zar (-25.92); dar (-25.92)	10
me-u-na-r	meunar	ded	-11.8939	ded (-11.89); zard (-14.19); ze (-14.71)	6
me-u-na-ru	meunaru	deda	-11.8916	deda (-11.89); dedal (-15.34); ded (-15.40)	7
me-u-na-ru-k	meunaruk	dedal	-12.581	dedal (-12.58); deda (-15.40); didɣin (-15.82)	8
me-u-na-ru-ka	meunaruka	dedal	-16.0873	dedal (-16.09); deda (-18.91); didɣin (-19.32)	9
me-u-na-ru-ka-n	meunarukan	dedal	-19.5936	dedal (-19.59); deda (-22.41); didɣin (-22.83)	10
na-da-d	nadad	ɡob	-13.1885	ɡob (-13.19); ɡab (-13.19); brɡ (-13.19)	5
na-da-da	nadada	ɡab	-16.6688	ɡab (-16.67); ɡob (-16.67); brɡ (-16.67)	6
na-da-da-u	nadadau	biɡa	-16.6403	biɡa (-16.64); ɡuɡa (-16.67); bade (-18.90)	7
na-da-da-u-t	nadadaut	biɡa	-20.1219	biɡa (-20.12); ɡuɡa (-20.17); bedʒ (-20.18)	8
na-da-da-u-ti	nadadauti	biɡa	-23.6034	biɡa (-23.60); ɡuɡa (-23.65); bidʒ (-23.66)	9
na-da-da-u-ti-n	nadadautin	biɡa	-27.0848	biɡa (-27.08); ɡuɡa (-27.14); bidʒ (-27.14)	10
na-da-w	nadaw	ɡab	-15.8556	ɡab (-15.86); brɡ (-15.86); ɡob (-15.86)	5
