linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
ki-te-te-r	kiteter	lrTɲ	-15.5044	lrTɲ (-15.50); *mn- (-17.28); γίσσα (-18.13)	7
ki-te-te-re	kitetere	lrTɲ	-17.449	lrTɲ (-17.45); †=n / ɲ (-18.56); *mn- (-20.09)	8
ki-te-te-re-p	kiteterep	lrTɲ	-20.9516	lrTɲ (-20.95); †=n / ɲ (-22.02); *mn- (-22.60)	9
ki-tu-j	kituj	†=ð	-11.6186	†=ð (-11.62); γίσσα (-13.74); βάνðα (-13.84)	5
ki-tu-ja	kituja	†=ð	-15.1215	†=ð (-15.12); γίσσα (-15.76); βάνðα (-16.66)	6
ki-tu-ja-s	kitujas	γίσσα	-18.1288	γίσσα (-18.13); †=ð (-18.62); †σωðαρ- (-19.03)	7
ma-i-na	maina	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=k̑ (-15.51)	5
ma-i-na-j	mainaj	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=l̩ (-18.34)	6
ma-i-na-ja	mainaja	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); †σωðαρ- (-21.18)	7
ma-i-na-ja-r	mainajar	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
ma-i-na-ja-re	mainajare	γίσσα	-23.4428	γίσσα (-23.44); †=n / ɲ (-23.98); *jnem (-25.45)	9
ma-i-na-ja-re-t	mainajaret	γίσσα	-26.2798	γίσσα (-26.28); †=n / ɲ (-27.47); κόον / κοῖον (-27.97)	10
ma-na-d	manad	γίσσα	-13.742	γίσσα (-13.74); †=km (-14.50); †=n / ɲ (-14.81)	5
ma-na-da	manada	γίσσα	-15.7621	γίσσα (-15.76); *mn- (-17.69); γέl̩α (-17.87)	6
ma-na-da-w	manadaw	γίσσα	-18.1288	γίσσα (-18.13); *mn- (-20.50); †=n / ɲ (-20.53)	7
ma-na-da-wa	manadawa	γίσσα	-20.7122	γίσσα (-20.71); †=n / ɲ (-22.74); γέl̩α (-23.42)	8
ma-na-da-wa-i	manadawai	γίσσα	-23.4428	γίσσα (-23.44); †=n / ɲ (-25.17); *al- (?) (-26.13)	9
ma-na-da-wa-i-j	manadawaij	γίσσα	-26.2798	γίσσα (-26.28); †=n / ɲ (-27.82); κόον / κοῖον (-27.97)	10
ma-si-r	masir	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=k̑ (-15.51)	5
ma-si-ru	masiru	†=ð	-13.9464	†=ð (-13.95); γίσσα (-15.76); γέl̩α (-17.87)	6
ma-si-ru-t	masirut	†=ð	-17.4524	†=ð (-17.45); γίσσα (-18.13); βάνðα (-19.37)	7
ma-si-ru-te	masirute	γίσσα	-20.7122	γίσσα (-20.71); †=ð (-20.96); †=n / ɲ (-21.36)	8
me-i-ja	meija	γίσσα	-13.742	γίσσα (-13.74); mjze (-14.37); *mn- (-14.66)	5
me-i-ja-s	meijas	γίσσα	-15.7621	γίσσα (-15.76); βάνðα (-17.40); mjze (-17.46)	6
me-i-ja-sa	meijasa	γίσσα	-18.1288	γίσσα (-18.13); βάνðα (-20.09); aɲ (?) (-20.41)	7
me-i-ja-sa-s	meijasas	γίσσα	-20.7122	γίσσα (-20.71); aɲ (?) (-22.91); βάνðα (-22.92)	8
me-i-ja-sa-sa	meijasasa	γίσσα	-23.4428	γίσσα (-23.44); aɲ (?) (-25.62); βάνðα (-25.85)	9
me-i-ja-sa-u	meijasau	†=ð	-20.2271	†=ð (-20.23); γίσσα (-20.71); βάνðα (-21.70)	8
me-i-ja-sa-u-n	meijasaun	βάνðα	-21.3856	βάνðα (-21.39); γίσσα (-23.44); †=ð (-23.73)	9
me-i-ja-sa-u-na	meijasauna	βάνðα	-24.2104	βάνðα (-24.21); γίσσα (-26.28); †=ð (-27.24)	10
me-i-ti	meiti	γίσσα	-13.742	γίσσα (-13.74); *mn- (-14.66); βάνðα (-14.95)	5
me-u-na	meuna	†=ð	-12.6639	†=ð (-12.66); Κβωðης (-12.78); †bið- (-12.82)	5
