linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
ja-di-ki-tu	jadikitu	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
ja-di-ki-tu-j	jadikituj	eːʃ	-23.3355	eːʃ (-23.34); 𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
ja-di-ki-tu-ja	jadikituja	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
ja-i-n-w	jainw	𒀀𒀝𒉌𒅖	-13.1999	𒀀𒀝𒉌𒅖 (-13.20); 𒈪𒋫𒀭𒉌 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
ja-i-nwa	jainwa	𒌷𒄩𒀜𒋾	-15.6764	𒌷𒄩𒀜𒋾 (-15.68); 𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
ja-i-nwa-z	jainwaz	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒆷𒊍𒉺 (-18.37)	7
ja-i-nwa-za	jainwaza	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
ja-i-nwa-za-*56	jainwazaΦ	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
ja-i-nwa-za-*56-n	jainwazaΦn	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
ja-ja-a	jajaa	eːʃ	-11.2315	eːʃ (-11.23); aʃ (-11.89); xuːʃ (-12.12)	5
ja-ja-d	jajad	eːʃ	-11.2315	eːʃ (-11.23); aʃ (-11.89); xuːʃ (-12.12)	5
ja-ja-di	jajadi	eːʃ	-14.7318	eːʃ (-14.73); aʃ (-15.39); xuːʃ (-15.40)	6
ja-ja-di-k	jajadik	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); eːʃ (-18.23)	7
ja-ja-di-ki	jajadiki	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
ja-ja-di-ki-t	jajadikit	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
ja-ja-di-ki-tu	jajadikitu	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); xaːras (-25.62); xus (-25.87)	10
ja-ja-i	jajai	eːʃ	-11.2315	eːʃ (-11.23); aʃ (-11.89); xuːʃ (-12.12)	5
ja-ja-i-n	jajain	eːʃ	-14.7318	eːʃ (-14.73); aʃ (-15.39); xuːʃ (-15.40)	6
ja-ja-i-n-w	jajainw	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); eːʃ (-18.23)	7
ja-ja-i-nwa	jajainwa	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
ja-ja-i-nwa-z	jajainwaz	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
