linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-na-ma-s	inamas	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
i-na-ma-si	inamasi	ai	-17.5262	ai (-17.53); ma (-17.53); apa (-19.18)	7
i-na-ma-si-r	inamasir	tabara	-20.7947	tabara (-20.79); tabaras (-20.85); bilia (-20.99)	8
i-na-ma-si-ru	inamasiru	tabara	-23.6383	tabara (-23.64); tabaras (-23.65); bilia (-23.80)	9
i-na-ma-si-ru-t	inamasirut	tabaras	-26.7374	tabaras (-26.74); tabara (-26.75); bilia (-26.89)	10
i-nu-i-n	inuin	ai	-10.5135	ai (-10.51); epi (-12.83); apa (-12.83)	5
i-nu-i-na	inuina	ai	-14.0198	ai (-14.02); epi (-16.32); apa (-16.32)	6
i-nu-i-na-i	inuinai	ai	-16.4348	ai (-16.43); teuta (-18.11); epi (-18.51)	7
i-nu-i-na-i-d	inuinaid	ai	-19.942	ai (-19.94); teuta (-21.61); epi (-22.01)	8
i-nu-i-na-i-da	inuinaida	ai	-23.4492	ai (-23.45); teuta (-25.10); epi (-25.51)	9
i-nu-i-na-i-da-j	inuinaidaj	ai	-26.9565	ai (-26.96); teuta (-28.60); epi (-29.01)	10
i-nu-ja	inuja	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-nu-ja-s	inujas	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
i-nu-ja-sa	inujasa	ai	-22.4476	ai (-22.45); apa (-22.49); epi (-22.49)	7
i-nu-ja-sa-s	inujasas	ai	-25.8371	ai (-25.84); apa (-25.85); epi (-25.85)	8
i-nu-ja-sa-sa	inujasasa	apa	-29.2244	apa (-29.22); epi (-29.22); ai (-29.24)	9
i-nu-ja-sa-sa-r	inujasasar	aran	-31.4367	aran (-31.44); apa (-32.61); epi (-32.61)	10
i-nwa-z	inwaz	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-nwa-za	inwaza	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
i-nwa-za-*56	inwazaΦ	apa	-20.8306	apa (-20.83); epi (-20.83); ai (-22.45)	7
i-nwa-za-*56-n	inwazaΦn	epi	-23.7293	epi (-23.73); apa (-23.73); teuta (-25.82)	8
i-nwa-za-*56-ni	inwazaΦni	epi	-21.0322	epi (-21.03); apa (-21.03); klaohi (-24.30)	9
i-pi-na	ipina	teuta	-9.7592	teuta (-9.76); ai (-10.51); ti (-10.52)	5
i-pi-na-m	ipinam	teuta	-12.853	teuta (-12.85); ai (-14.02); ti (-14.02)	6
i-pi-na-ma	ipinama	teuta	-16.0616	teuta (-16.06); ai (-17.53); ti (-17.53)	7
i-pi-na-ma-i	ipinamai	teuta	-16.0694	teuta (-16.07); tai (-17.52); ai (-19.94)	8
i-pi-na-ma-i-n	ipinamain	teuta	-19.5552	teuta (-19.56); tai (-21.03); ai (-23.45)	9
i-pi-na-ma-i-na	ipinamaina	teuta	-23.0409	teuta (-23.04); tai (-24.54); dekias (-26.81)	10
i-pi-na-ma-s	ipinamas	teuta	-19.3338	teuta (-19.33); ai (-21.03); ti (-21.04)	8
i-pi-na-ma-si	ipinamasi	teuta	-19.3565	teuta (-19.36); tabara (-20.29); tai (-21.03)	9
i-pi-na-ma-si-r	ipinamasir	tabara	-20.9414	tabara (-20.94); tabaras (-21.00); teuta (-22.86)	10
i-ru-te	irute	aran	-12.5656	aran (-12.57); ai (-15.72); epi (-15.83)	5
i-ru-te-i	irutei	aran	-13.8745	aran (-13.87); ai (-14.02); bilia (-15.83)	6
i-ru-te-i-d	iruteid	aran	-16.746	aran (-16.75); ai (-17.53); bilia (-19.16)	7
